EN,CH
Police in the north-eastern Brazilian state of Bahia say Mr da Nóbrega opened fire when they tried,巴西东北部巴伊亚州警方称，在他们试图开枪时，da Nobrega先生开了枪
With the ink barely dry on his impeachment,弹劾他的墨水还没干
impeachment,弹劾
acquittal,无罪释放
prosecutors,检察官
"stiff prison term for Roger Stone, a confidant",密友罗杰·斯通被判入狱
confidant,知己
convicted,被判有罪
regime,政权
peninsula,半岛
al-Qaeda’s,基地组织的
extended,扩展
fatalities,死亡人数
epidemic,流行
revealing,揭示
demoted,降级
denounced,谴责
thrashed,重创
lopsided,不平衡
opposition,反对
amendments,修正案
tariffs,关税
preferential,优惠
dispute,争端
ethnic,少数民族
ousted,被驱逐的
executive,执行
conducted,进行了
suburb,郊区
deceased,已故的
reins,缰绳
emissions-cheating,emissions-cheating
duopoly,双头垄断
contend,认为
Protestant,新教
more welcoming. The influence of the Catholic,更欢迎。天主教的影响
respondents,受访者
polls,民意调查
status,状态
roughly equal support for it and the status quo,对它和现状的支持大致相等
In some polls respondents show roughly equal support for it and the status quo,在一些民意调查中，受访者对它的支持与对现状的支持大致相当
reconciled,协调
constitutional,宪法
referendum,全民公投
subsidy,补贴
obstacles,障碍
ancestral,祖先的
recognise,承认
detests,所憎恶的
tainted,受污染的
Nonetheless,尽管如此
tempted,诱惑
demagogues,煽动家
coalition,联盟
plunged,暴跌
condemnation,谴责
reveal,揭示
wrest,夺取
immense,巨大的
obliged,有义务
candidate,候选人
contemplates,考虑
Centrists,中间派
fragmented,支离破碎的
realignment,调整
consensus,共识
aping,模仿
euro-zone,欧元区
integration,集成
paralysis,麻痹
statistical,统计
commodities,大宗商品
contractual,合同
commitments,承诺
Stuttgart,斯图加特
Some problems have already emerged,一些问题已经出现
pandemic,流感大流行
brokers,经纪人
rap,说唱
residential,住宅
disruption,中断
estate,房地产
commissions,佣金
knot,结
obsolete,过时了
practices,实践
incentive,激励
transactions,交易
tacit,隐性
materially,物质上
subpoenaed,传唤
whether,是否
entrepreneurs,企业家
